E_nu_MeV,X_times_N_nue
3.60661261e+01,2.25810976e+05
3.61190090e+01,2.25759236e+05
3.61718919e+01,2.25704279e+05
3.62247748e+01,2.25646098e+05
3.62776577e+01,2.25584681e+05
3.63305405e+01,2.25520021e+05
3.63834234e+01,2.25452109e+05
3.64363063e+01,2.25380934e+05
3.64891892e+01,2.25306487e+05
3.65420721e+01,2.25228761e+05
3.65949550e+01,2.25147744e+05
3.66478378e+01,2.25063429e+05
3.67007207e+01,2.24975806e+05
3.67536036e+01,2.24884865e+05
3.68064865e+01,2.24790599e+05
3.68593694e+01,2.24692996e+05
3.69122523e+01,2.24592049e+05
3.69651351e+01,2.24487747e+05
3.70180180e+01,2.24380083e+05
3.70709009e+01,2.24269046e+05
3.71237838e+01,2.24154628e+05
3.71766667e+01,2.24036819e+05
3.72295495e+01,2.23915610e+05
3.72824324e+01,2.23790991e+05
3.73353153e+01,2.23662955e+05
3.73881982e+01,2.23531491e+05
3.74410811e+01,2.23396590e+05
3.74939640e+01,2.23258244e+05
3.75468468e+01,2.23116442e+05
3.75997297e+01,2.22971176e+05
3.76526126e+01,2.22822437e+05
3.77054955e+01,2.22670215e+05
3.77583784e+01,2.22514501e+05
3.78112613e+01,2.22355287e+05
3.78641441e+01,2.22192562e+05
3.79170270e+01,2.22026317e+05
3.79699099e+01,2.21856544e+05
3.80227928e+01,2.21683234e+05
3.80756757e+01,2.21506376e+05
3.81285586e+01,2.21325962e+05
3.81814414e+01,2.21141983e+05
3.82343243e+01,2.20954430e+05
3.82872072e+01,2.20763292e+05
3.83400901e+01,2.20568562e+05
3.83929730e+01,2.20370230e+05
3.84458559e+01,2.20168286e+05
3.84987387e+01,2.19962722e+05
3.85516216e+01,2.19753528e+05
3.86045045e+01,2.19540696e+05
3.86573874e+01,2.19324215e+05
3.87102703e+01,2.19104077e+05
3.87631532e+01,2.18880273e+05
3.88160360e+01,2.18652793e+05
3.88689189e+01,2.18421629e+05
3.89218018e+01,2.18186770e+05
3.89746847e+01,2.17948208e+05
3.90275676e+01,2.17705934e+05
3.90804505e+01,2.17459938e+05
3.91333333e+01,2.17210212e+05
3.91862162e+01,2.16956746e+05
3.92390991e+01,2.16699530e+05
3.92919820e+01,2.16438556e+05
3.93448649e+01,2.16173815e+05
3.93977477e+01,2.15905297e+05
3.94506306e+01,2.15632994e+05
3.95035135e+01,2.15356895e+05
3.95563964e+01,2.15076992e+05
3.96092793e+01,2.14793275e+05
3.96621622e+01,2.14505736e+05
3.97150450e+01,2.14214365e+05
3.97679279e+01,2.13919153e+05
3.98208108e+01,2.13620091e+05
3.98736937e+01,2.13317169e+05
3.99265766e+01,2.13010379e+05
3.99794595e+01,2.12699711e+05
4.00323423e+01,2.12385157e+05
4.00852252e+01,2.12066706e+05
4.01381081e+01,2.11744349e+05
4.01909910e+01,2.11418079e+05
4.02438739e+01,2.11087884e+05
4.02967568e+01,2.10753757e+05
4.03496396e+01,2.10415687e+05
4.04025225e+01,2.10073666e+05
4.04554054e+01,2.09727685e+05
4.05082883e+01,2.09377734e+05
4.05611712e+01,2.09023805e+05
4.06140541e+01,2.08665887e+05
4.06669369e+01,2.08303972e+05
4.07198198e+01,2.07938051e+05
